commentOrDocument,modifyDate,docketId,commentOnDocumentId,id,organization,firstName,lastName,title,comment,attachments,link
document,2021-11-13T02:00:27Z,BIS-2021-0036,,BIS-2021-0036-0001,,,,86 FR 53031 Notice for Risks in the Semiconductor Supply Chain_published 9-24-21_comments due 11-8-21,,"[('86 FR 53031 Notice for Risks in the Semiconductor Supply Chain_published 9-24-21_comments due 11-8-21', 'https://downloads.regulations.gov/BIS-2021-0036-0001/content.pdf')]",https://api.regulations.gov/v4/documents/BIS-2021-0036-0001
document,2021-09-24T13:10:53Z,BIS-2021-0036,,BIS-2021-0036-0002,,,,EXCEL FORM_BIS IC Comment Form - Final,,"[('EXCEL FORM_BIS IC Comment Form - Final', 'https://downloads.regulations.gov/BIS-2021-0036-0002/content.xlsx')]",https://api.regulations.gov/v4/documents/BIS-2021-0036-0002
comment,2021-10-25T13:17:35Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0011,FAIST Anlagenbau GmbH,,,Public Comment 9. FAIST Anlagenbau GmbH. Marlies Egle. 10/21/21,See attached file(s),"[('BIS-2021-0036-0002_content', 'https://downloads.regulations.gov/BIS-2021-0036-0011/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0011
comment,2021-11-02T15:12:05Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0015,"ASE Technology Holding Co., Ltd.",,,Public Comment 13. ASE Technology Holding Co. Ginacy Wu. 11/01/21,See attached file(s),"[('P_211029-BIS-2021-0036-0002_content_ASEH', 'https://downloads.regulations.gov/BIS-2021-0036-0015/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0015
comment,2021-10-27T15:05:05Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0013,,,Ober,Public Comment 11. Cornell University. Christopher Ober. 10/25/21,"The Cornell Nanoscale Science and Technology Facility (CNF) is a uniquely capable, open-access nanofabrication center offering outstanding tools and capabilities for both research and prototyping. As one of the largest and most comprehensive sites in the National Nanotechnology Coordinated Infrastructure (NNCI), CNF has demonstrated the ability to bridge disciplinary boundaries; providing innovative solutions to challenging, multi-step, micro- and nanofabrication processes.<br/><br/>In addition to supporting research, CNF provides state-of-the-art tools, processes, and process support for prototyping and low-volume manufacturing and packaging of advanced electronic and photonic devices. The highly skilled CNF staff (with over 500 total years of experience), a large internal and external user base, and a culture of innovation that fosters new company creation are all hallmarks of CNF. CNF plays a vital role in helping customers develop prototypes from emerging engineering and science fields. Dedicated to its customers and users, CNF prides itself on bringing together researchers, startup companies, and low volume manufacturers and helping them successfully complete their projects. <br/><br/>CNF boasts over 40 years of experience as a national and international user facility for fabrication of micro- and nanoelectronic and photonic devices, supporting both the academic research community as well as large and small companies. As one of 16 primary sites in NNCI, the National Nanotechnology Coordinated Infrastructure and due to its reputation of a high-quality toolset and skilled staff, CNF external users hail from sites across the United States and abroad.<br/> <br/>To meet the demands of a diverse user base, CNF employs a highly skilled staff. Adept at assisting users at all levels the CNF team is able to focus on the individual needs of the user community. The CNF maintains a full complement of processing and characterization equipment (i.e., over 180 state-of-the-art lab instruments) with emphasis on electron beam lithography at the smallest dimensions, advanced stepper-based photolithography, and a wide array of software, characterization, imaging, testing, packaging, printing, deposition and etching resources. Its diverse toolset enables processing of among the widest spectrum of materials in NNCI and the CNF continues to serve as broad-based interdisciplinary facility with initiatives spanning the physical sciences, engineering, and life sciences. CNF actively strives to remain at the technology forefront and is responsive to new user requests and research trends.  <br/><br/>CNF occupies 17,000 sq. ft. of cleanroom space and 4000 sq ft of additional space in Duffield Hall dedicated to the user program. Short-term office space is available to outside users. Duffield Hall, first occupied in 2004, was designed specifically to support all of the modern safety systems and utilities necessary for CNF to operate a state-of-the-art nanotechnology center. CNF has a toxic gas monitoring system with over 120 electrochemical gas sensors to continuously monitor various ambient and exhausted enclosure points. The infrastructure is thus well suited for the support of advanced nanofabrication tools.","[('BIS-2021-0036-0002_content_Cornell', 'https://downloads.regulations.gov/BIS-2021-0036-0013/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0013
comment,2021-11-08T20:45:55Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0031,"ZF North America, Inc.",,,Public Comment 29. ZF North America Inc. Brian Laughlin. 11/05/21,"See attached files. For BUSINESS CONFIDENTIAL version, ZF requests confidential treatment under the FOIA exemptions for trade secrets and proprietary business information.","[('P PUBLIC ZF Response Form - Semiconductors RFI', 'https://downloads.regulations.gov/BIS-2021-0036-0031/attachment_1.xlsx'), ('P PUBLIC 11.05.21 - US Dept of Commerce', 'https://downloads.regulations.gov/BIS-2021-0036-0031/attachment_3.pdf')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0031
comment,2021-11-08T21:03:33Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0034,Renesas Electoronics Corporation,,,Public Comment 32. Renesas Electoronics Corporation. Shinichi Fukushima. 11/06/21,"Dear BIS Professionals, <br/>Thank you for the opportunity to review our company&rsquo;s supply chain information in line with this survey. We, Renesas Electronics Corporation as Japan based semiconductor manufacturer, are interested in the series of actions by US Government and federal agencies for supply chain review. We hope that our response contributes to the survey by providing the data in requested excel format. <br/>Sincerely,","[('P_Renesas Electronics_BIS IC Comment Form - Final', 'https://downloads.regulations.gov/BIS-2021-0036-0034/attachment_2.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0034
comment,2021-11-08T21:23:16Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0037,NANTERO,,,Public Comment 35. Nantero Inc. Robert Snowberger. 11/06/21,See attached file(s),"[('P BIS IC NANTERO Comment Form Protected', 'https://downloads.regulations.gov/BIS-2021-0036-0037/attachment_3.xlsx'), ('P NANTERO Final Response RIN 0694XC084-3 11-04-21', 'https://downloads.regulations.gov/BIS-2021-0036-0037/attachment_4.pdf')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0037
comment,2021-11-08T17:20:06Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0026,"Cisco Systems, Inc.",,,Public Comment 24. Cisco Systems Inc. Company Representative. 11/05/21,BCI,[],https://api.regulations.gov/v4/comments/BIS-2021-0036-0026
comment,2021-11-08T21:55:08Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0030,,,Anonymous,Public Comment 28. Core Avionics & Industrial Inc. Company Representative. 11/05/21,See attached file(s),"[('BIS IC Comment Form', 'https://downloads.regulations.gov/BIS-2021-0036-0030/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0030
comment,2021-11-08T21:53:40Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0042,Powerchip Semiconductor Manufacturing Corporation,,,Public Comment 40. Powerchip Semiconductor Manufacturing Corporation. Pao-Chuan Lin. 11/07/21,See attached file,"[('BIS-2021-0036-0025_attachment', 'https://downloads.regulations.gov/BIS-2021-0036-0042/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0042
comment,2021-11-08T21:49:51Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0041,University of the District of Columbia,,,Public Comment 39. University of the District of Columbia. Devdas Shetty. 11/07/21,See attached file(s),"[('BIS-2021-0036-0002_content (1) (1)-UDC', 'https://downloads.regulations.gov/BIS-2021-0036-0041/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0041
comment,2021-11-08T21:54:37Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0040,,,Anonymous,Public Comment 38. Kioxia Corporation. Company Representative. 11/07/21,Please refer to the attached files.,"[('P_KIOXIA_BIS IC Comment Form', 'https://downloads.regulations.gov/BIS-2021-0036-0040/attachment_2.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0040
comment,2021-11-09T14:16:15Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0046,MediaTek Inc.,,,Public Comment 44. MediaTek Inc. Company Representative. 11/08/21,See attached file(s),"[('P_BIS-2021-0036 MediaTek Submission - public', 'https://downloads.regulations.gov/BIS-2021-0036-0046/attachment_3.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0046
comment,2021-11-09T14:46:17Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0047,Integra Technologies,,,Public Comment 45. Integra Technologies. Brett Robinson. 11/08/21,"Dear BIS Professional, <br/>Please find the Excel form completed along with a supplemental document in PDF form.<br/><br/>Thanks<br/>Brett Robinson","[('Public BIS for Integra Technologies', 'https://downloads.regulations.gov/BIS-2021-0036-0047/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0047
comment,2021-11-09T16:25:42Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0049,Medtronic,,,Public Comment 47. Medtronic. Company Representative. 11/08/21,Please see attached.<br/><br/>Leju Yohannan<br/>Director Electronics Category Management<br/>Medtronic,"[('BIS-2021-0036-0002_content_Medtronic', 'https://downloads.regulations.gov/BIS-2021-0036-0049/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0049
comment,2021-11-09T16:34:25Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0050,SK hynix,,,Public Comment 48. SK Hynix. Dan Kim. 11/08/21,Attached are both Business Confidential and Public versions of comments by SK hynix.,"[('P - Public Submission - SK hynix comments on Department of Commerce RFI (8 Nov 2021)', 'https://downloads.regulations.gov/BIS-2021-0036-0050/attachment_3.pdf'), ('P - Public submission by SK hynix for Department of Commerce RFI (8 Nov 2021)', 'https://downloads.regulations.gov/BIS-2021-0036-0050/attachment_4.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0050
comment,2021-11-09T17:21:32Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0055,Flex Ltd.,,,Public Comment 55. Flex Ltd. Company Representative. 11/08/21,"See attached file(s).  This letter and the enclosed materials (file &quot;BC_Flex_BIS 2021-0036) contain confidential financial and business information.  They are exempt from disclosure under the Freedom of Information Act (&ldquo;FOIA&rdquo;), 5 U.S.C. sections 552(b)(3) and (b)(4), and the Trade Secrets Act, 18 U.S.C. &sect; 1905 generally forbids dissemination of them outside of the U.S. government.  Accordingly, pursuant to 5 U.S.C. section 552(b), Flex respectfully request that the entire submission be treated as confidential and not be disclosed outside of the government.",[],https://api.regulations.gov/v4/comments/BIS-2021-0036-0055
comment,2021-11-09T17:27:57Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0057,,,Anonymous,Public Comment 57. HRL Laboratories LLC. Company Representative. 11/08/21,Please see the attached file(s). ,"[('P_HRLLaboratories_BIS-2021-0036', 'https://downloads.regulations.gov/BIS-2021-0036-0057/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0057
comment,2021-11-09T21:55:10Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0077,BorgWarner Inc.,,,Public Comment 76. BorgWarner Inc. Erika Nielsen. 11/08/21,Please see attached for comments from BorgWarner Inc.,"[('P - BIS 2021-0036 - BorgWarner Semiconductors Public Comment Form', 'https://downloads.regulations.gov/BIS-2021-0036-0077/attachment_3.xlsx'), ('P - BIS 2021-0036 - BorgWarner Semiconductors public comments 2021 final', 'https://downloads.regulations.gov/BIS-2021-0036-0077/attachment_4.pdf')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0077
comment,2021-11-09T21:48:15Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0075,onsemi,,,Public Comment 74. OnSemi. Daryl Hatano. 11/08/21,Comments submitted as attachments,"[('P Public onsemi BIS RFI excel 2021.11.08 - FINAL', 'https://downloads.regulations.gov/BIS-2021-0036-0075/attachment_1.pdf'), ('P PUBLIC onsemi re BIS RFI comment 2021.11.08 - FINAL', 'https://downloads.regulations.gov/BIS-2021-0036-0075/attachment_4.pdf')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0075
comment,2021-11-09T20:51:34Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0063,Kia Georgia,,,Public Comment 62. Kia Georgia. Company Representative. 11/08/21,See attached file(s),"[('P Kia Georgia Public Comments on Risks in the Semiconductor Supply Chain (Docket BIS 2021-0036)', 'https://downloads.regulations.gov/BIS-2021-0036-0063/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0063
comment,2021-11-10T16:44:27Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0086,"Samsung Electronics Co., Ltd.",,,Public Comment 86. Samsung Electronics Co Ltd. Company Representative. 11/08/21,Please see the attached files.,[],https://api.regulations.gov/v4/comments/BIS-2021-0036-0086
comment,2021-11-10T18:36:27Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0091,Microsoft Corporation,,,Public Comment 91. Microsoft Corporation. Company Representative. 11/08/21,"Attached are Microsoft&#39;s responses for the requests for comments on the Risks in the Semiconductor Supply Chain (86FR53031).  We have submitted Business Confidential and Public versions of comments, plus two addenda that are business confidential.","[('P_Microsoft_SemiconductorSupplyChainComment', 'https://downloads.regulations.gov/BIS-2021-0036-0091/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0091
comment,2021-11-08T20:58:05Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0033,"REV Group, Inc - Ambulance Division",,,Public Comment 31. REV Group Inc - Ambulance Division. Claudia Garber. 11/05/21,"Please see the attached form from the Ambulance Division of REV Group, Inc. for comments on how the semiconductor shortage is impacting our industry&#39;s ability to support the nation&#39;s EMS providers.  Thank you for the opportunity to provide our input.","[('BIS IC Comment Form - Final_REV Group Inc', 'https://downloads.regulations.gov/BIS-2021-0036-0033/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0033
comment,2021-11-10T19:10:17Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0099,"Honda Development & Manufacturing of America, LLC.",,,Public Comment 99. Honda Development & Manufacturing of America LLC. Company Representative. 11/08/21,See attached comments. ,"[('P - Honda BIS IC Comment Form - Semiconductor ', 'https://downloads.regulations.gov/BIS-2021-0036-0099/attachment_1.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0099
comment,2021-11-10T18:54:13Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0094,"Arm, Inc.",,,Public Comment 94. Arm Inc. Company Representative. 11/08/21,See attached file(s),[],https://api.regulations.gov/v4/comments/BIS-2021-0036-0094
comment,2021-11-10T20:27:46Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0109,"SkyWater Technology, Inc.",,,Public Comment 105. SkyWater Technology Inc. Brad Ferguson. 11/08/21,Public version of filing,"[('P - SkyWater BIS IC Comment Form', 'https://downloads.regulations.gov/BIS-2021-0036-0109/attachment_2.xlsx')]",https://api.regulations.gov/v4/comments/BIS-2021-0036-0109
comment,2021-11-10T19:45:54Z,BIS-2021-0036,BIS-2021-0036-0001,BIS-2021-0036-0105,"Analog Devices, Inc.",,,Public Comment 106. Analog Devices Inc. Company Representative. 11/08/21,Business Confidential response for Analog Devices Inc.,[],https://api.regulations.gov/v4/comments/BIS-2021-0036-0105
