commentOrDocument,modifyDate,docketId,commentOnDocumentId,id,organization,firstName,lastName,title,comment,attachments,link
document,2021-12-10T02:00:39Z,NIST-2021-0006,,NIST-2021-0006-0001,,,,Study on Chinese Policies and Influence in the Development of International Standards for Emerging Technologies,,"[('Study on Chinese Policies and Influence in the Development of International Standards for Emerging Technologies', 'https://downloads.regulations.gov/NIST-2021-0006-0001/content.pdf')]",https://api.regulations.gov/v4/documents/NIST-2021-0006-0001
comment,2021-12-06T17:09:10Z,NIST-2021-0006,NIST-2021-0006-0001,NIST-2021-0006-0013,American National Standards Institute (ANSI),,,Comment on FR Doc # 211026-0219,Please find attached comments of the American National Standards Institute (ANSI).  ,"[('ANSI-Comments_NIST-RFI-2021-0006_Final', 'https://downloads.regulations.gov/NIST-2021-0006-0013/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2021-0006-0013
comment,2021-12-06T17:18:35Z,NIST-2021-0006,NIST-2021-0006-0001,NIST-2021-0006-0014,NCTA - The Internet & Television Association and CableLabs,,,Comment on FR Doc # 211026-0219,"Attached are joint comments for filing by NCTA and CableLabs in Docket No. 211026-0219.  This is in response to NIST&rsquo;s Request for Comments to inform a study of Chinese policies and influence in the development of international standards for emerging technologies, as mandated by Congress in the 2021 National Defense Authorization Act (NDAA).  If you have questions, please contact Loretta Polk at NCTA or Mark Walker at CableLabs.  Thank you.  <br/>","[('120621 211026-0219 NCTA-CableLabs Comments on NIST PRC-International Standards RFI', 'https://downloads.regulations.gov/NIST-2021-0006-0014/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2021-0006-0014
comment,2021-12-06T20:20:54Z,NIST-2021-0006,NIST-2021-0006-0001,NIST-2021-0006-0017,Quantum Industry Coalition,,,Comment on FR Doc # 211026-0219,Please see attached comment from the Quantum Industry Coalition,"[('Quantum Industry Coalition Comment on NIST PRC Standards RFI 12-02-21', 'https://downloads.regulations.gov/NIST-2021-0006-0017/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2021-0006-0017
comment,2021-12-07T00:22:55Z,NIST-2021-0006,NIST-2021-0006-0001,NIST-2021-0006-0020,CTIA,,,Comment on FR Doc # 211026-0219,See attached file. ,"[('CTIA Comments', 'https://downloads.regulations.gov/NIST-2021-0006-0020/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2021-0006-0020
comment,2021-12-07T00:29:17Z,NIST-2021-0006,NIST-2021-0006-0001,NIST-2021-0006-0024,U.S. Technical Advisory Group (TAG) for ISO TC20/SC14,,,Comment on FR Doc # 211026-0219,See attached file(s),"[('ISO_US_TC20_SC14_TAG_Comments_on_NIST_FR_No_211026-0219_SUBMITTED', 'https://downloads.regulations.gov/NIST-2021-0006-0024/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2021-0006-0024
comment,2021-12-07T00:20:47Z,NIST-2021-0006,NIST-2021-0006-0001,NIST-2021-0006-0018,,,Frantz,Comment on FR Doc # 211026-0219,"Dear Mr. Alderman,<br/>Thank you for this opportunity to share my observations and thoughts on this important topic. As a US citizen, I am pleased that NIST is studying this phenomenon and just by asking for information, it not only raises awareness, but also facilitates finding a pathway to a positive outcome for all.<br/>My response to this request for information is attached.<br/>Professor Terrill L. Frantz<br/>","[('20211206NISTChinaResponseBody', 'https://downloads.regulations.gov/NIST-2021-0006-0018/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2021-0006-0018
comment,2021-12-07T00:28:15Z,NIST-2021-0006,NIST-2021-0006-0001,NIST-2021-0006-0023,,,Posey,Comment on FR Doc # 211026-0219,See attached file(s),"[('Rep. Posey Comments NIST20210006', 'https://downloads.regulations.gov/NIST-2021-0006-0023/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2021-0006-0023
comment,2021-12-06T13:30:47Z,NIST-2021-0006,NIST-2021-0006-0001,NIST-2021-0006-0008,,,Porterfield,Comment on FR Doc # 211026-0219,See attached file(s),"[('NIST-2021-0006I_public_comment_porterfield_2021dec05', 'https://downloads.regulations.gov/NIST-2021-0006-0008/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2021-0006-0008
comment,2021-12-06T13:34:11Z,NIST-2021-0006,NIST-2021-0006-0001,NIST-2021-0006-0009,,,Lazanski,Comment on FR Doc # 211026-0219,Please see the attached comment on China: strategic use of standards to further domestic and international ambitions.,"[('NIST consultation 6 Dec 2021 Lazanski et al', 'https://downloads.regulations.gov/NIST-2021-0006-0009/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2021-0006-0009
comment,2021-12-06T13:21:58Z,NIST-2021-0006,NIST-2021-0006-0001,NIST-2021-0006-0006,National Electrical Manufacturers Association,,,Comment on FR Doc # 211026-0219,"Mr. David Alderman<br/>Group Leader, Standards and Conformity Group<br/>National Institute of Standards and Technology <br/>100 Bureau Drive<br/>Gaithersburg, MD 20899<br/><br/>Dear Mr. Alderman:<br/><br/>The purpose of the attached letter is to respond to the November 4, 2021 Federal Register Docket 211026-0219, NIST request for public comment regarding the People&rsquo;s Republic of China (PRC) policies and influence in the development of international standards for emerging technologies.<br/><br/>Sincerely,<br/><br/>Philip Squair<br/>NEMA Vice President, Government Relations  <br/>","[('NEMA comments NIST RFP Chinese Participation - FINAL', 'https://downloads.regulations.gov/NIST-2021-0006-0006/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2021-0006-0006
